,artist,master_genre
840,Tina Turner,Rock music
841,95 South,Hip hop
842,Shil,Gospel music
843,Bobby Brown,Gospel music
844,4 Non Blondes,Rock music
845,Prince and The New Power Generation,Pop music
846,Portrait,Gospel music
847,Ugly Kid Joe,Rock music
848,Positive K,Hip hop
849,Cypress Hill,Hip hop
850,Inner Circle,Reggae
851,Kenny G,Jazz
852,Jazzy Jeff and Fresh Prince,Hip hop
853,Restless Heart,Country music
854,Captain Hollywood Project,Hip hop
855,Digable Planets,Hip hop
856,Go West,Rock music
857,Tears For Fears,Rock music
858,Green Jelly,Heavy metal
859,Taylor Dayne,Rock music
860,Def Leppard,Rock music
861,Sir Mix A-lot,Hip hop
862,Mr. Big,Rock music
863,Right Said Fred,Pop music
864,Billy Ray Cyrus,Country music
865,Guns N’ Roses,Rock music
866,Tom Cochrane,Rock music
867,CeCe Peniston,Hip hop
868,Patty Smyth,Rock music
869,House Of Pain,Hip hop
870,Prince and The N.P.G.,Rock music
871,George Michael and Elton John,Pop music
872,Atlantic Starr,Rock music
873,Joe Public,Gospel music
874,Nirvana,Rock music
875,Teven Campbell,Jazz
876,Technotronic,Hip hop
877,Queen,Rock music
878,Hammer,Hip hop
879,K.W.S.,Hip hop
880,Mint Condition,Gospel music
881,Cover Girls,Hip hop
882,Hi-Five,Gospel music
883,Amy Grant,Pop music
884,Toad The Wet Sprocket,Rock music
885,Genesis,Rock music
886,Karyn White,Gospel music
887,Calms Dion And Peabo Bryson,Alternative rock
888,Marky Mark And The Funky Bunch,Hip hop
889,Cure,Rock music
890,Paula Abdul,Pop music
891,N2Deep,Hip hop
892,Kathy Troccoli,Rock music
893,Charles and Eddie,Pop music
894,Das EFX,Hip hop
895,C+C Music Factory,Pop music
896,Timmy T,Hip hop
897,EMF,Alternative rock
898,Extreme,Rock music
899,Surface,Gospel music
900,Damn Yankees,Rock music
901,Bette Midler,Pop music
902,Jesus Jones,Alternative rock
903,Marky Mark and The Funky Bunch,Hip hop
904,Roxette,Pop music
905,Tara Kemp,Hip hop
